timestamp(ms),accel_magnitude,gyro,gyro_x,gyro_y,gyro_z,imu_moving,test_target,test_mode,
"-2.2",,"-1.52",,,,,,,
"-1.65",,"-3.96",,,,,,,
"-1.04",,"0.06",,,,,,,
"-0.98",,"0.37",,,,,,,
"-0.91",,"0",,,,,,,
"-0.85",,"0.79",,,,,,,
"-0.79",,"0.67",,,,,,,
"-0.73",,"0.3",,,,,,,
"-0.67",,"0.73",,,,,,,
"-0.61",,"-0.37",,,,,,,
"-0.55",,"0.12",,,,,,,
"-0.49",,"0.12",,,,,,,
"-0.43",,"0.18",,,,,,,
"-0.37",,"0.49",,,,,,,
"-0.3",,"0.37",,,,,,,
"-0.24",,"0",,,,,,,
"-0.18",,"0.61",,,,,,,
"-0.12",,"0.18",,,,,,,
"-0.06",,"0.12",,,,,,,
"0",,"0.12",,,,,,,
"0.06",,"0.24",,,,,,,
"0.12",,"0.37",,,,,,,
"0.18",,"0",,,,,,,
"0.24",,"0.06",,,,,,,
"0.3",,"0.12",,,,,,,
"0.37",,"-0.85",,,,,,,
"0.43",,"0.3",,,,,,,
"0.49",,"0.24",,,,,,,
"0.67",,"0.12",,,,,,,
"0.91",,"-4.09",,,,,,,
"3.84",,"-7.74",,,,,,,
"6.04",,"-0.85",,,,,,,
"13.96",,"3.96",,,,,,,
"38.23",,"-17.93",,,,,,,
"1769473604.925",,,,,,,"1",,
"1769473605.123",,,,,,,"1",,
"1769473605.124",,,,,,,,"0",
"1769473605.324",,,,,,,"1","0",
"1769473605.524",,,,,,,"1","0",
"1769473605.788",,,,,,,"1",,
"1769473605.789",,,,,,,,"0",
"1769473605.934",,,,,,,"1",,
"1769473605.935",,,,,,,,"0",
"1769473606.126",,,,,,,"1","0",
"1769473606.328",,,,,,,"1","0",
"1769473606.524",,,,,,,"1","0",
"1769473606.724",,,,,,,"1","0",
"1769473606.924",,,,,,,"1",,
"1769473606.925",,,,,,,,"0",
"1769473607.127",,,,,,,"1","0",
"1769473607.324",,,,,,,"1","0",
"1769473607.524",,,,,,,"1","0",
"1769473607.734",,,,,,,"1","0",
"1769473607.924",,,,,,,"1","0",
"1769473608.124",,,,,,,"1","0",
"1769473608.324",,,,,,,"1","0",
"1769473608.524",,,,,,,"1","0",
"1769473608.724",,,,,,,"1","0",
"1769473608.925",,,,,,,"1","0",
"1769473609.124",,,,,,,"1",,
"1769473609.125",,,,,,,,"0",
"1769473609.326",,,,,,,"1","0",
"1769473609.524",,,,,,,"1",,
"1769473609.525",,,,,,,,"0",
"1769473609.725",,,,,,,"1",,
"1769473609.726",,,,,,,,"0",
"1769473609.926",,,,,,,"1",,
"1769473609.927",,,,,,,,"0",
"1769473610.125",,,,,,,"1","0",
"1769473610.326",,,,,,,"1","0",
"1769473610.524",,,,,,,"1","0",
"1769473610.73",,,,,,,"1","0",
"1769473610.928",,,,,,,"1","0",
"1769473611.127",,,,,,,"1","0",
"1769473611.324",,,,,,,"1",,
"1769473611.325",,,,,,,,"0",
"1769473611.524",,,,,,,"1","0",
"1769473611.724",,,,,,,"1","0",
"1769473611.927",,,,,,,"1","0",
"1769473612.124",,,,,,,"1","0",
"1769473612.324",,,,,,,"1",,
"1769473612.325",,,,,,,,"0",
"1769473612.525",,,,,,,"1","0",
"1769473612.724",,,,,,,"1","0",
"1769473612.925",,,,,,,"1","0",
"1769473613.125",,,,,,,"1","0",
"1769473613.324",,,,,,,"1","0",
"1769473613.525",,,,,,,"1","0",
"1769473613.724",,,,,,,"1","0",
"1769473613.924",,,,,,,"1","0",
"1769473614.124",,,,,,,"1","0",
"1769473614.324",,,,,,,"1","0",
"1769473614.525",,,,,,,"1","0",
"1769473614.724",,,,,,,"1","0",
"1769473614.924",,,,,,,"1","0",
"1769473615.124",,,,,,,"1","0",
"1769473615.324",,,,,,,"1","0",
"1769473615.524",,,,,,,"1","0",
"1769473615.724",,,,,,,"1","0",
"1769473615.926",,,,,,,"1","0",
"1769473616.123",,,,,,,"1","0",
"1769473616.324",,,,,,,"1","0",
"1769473616.524",,,,,,,"1","0",
"1769473616.724",,,,,,,"1","0",
"1769473616.924",,,,,,,"1","0",
"1769473617.124",,,,,,,"1","0",
"1769473617.325",,,,,,,"1","0",
"1769473617.525",,,,,,,"1",,
"1769473617.526",,,,,,,,"0",
"1769473617.724",,,,,,,"1","0",
"1769473617.924",,,,,,,"1","0",
"1769473618.124",,,,,,,"1","0",
"1769473618.324",,,,,,,"1","0",
"1769473618.523",,,,,,,"1",,
"1769473618.525",,,,,,,,"0",
"1769473618.725",,,,,,,"1","0",
"1769473618.923",,,,,,,"1","0",
"1769473619.123",,,,,,,"1","0",
"1769473619.323",,,,,,,"1",,
"1769473619.325",,,,,,,,"0",
"1769473619.524",,,,,,,"1","0",
"1769473619.723",,,,,,,"1",,
"1769473619.725",,,,,,,,"0",
"1769473619.923",,,,,,,"1",,
"1769473619.925",,,,,,,,"0",
"1769473620.123",,,,,,,"1","0",
"1769473620.323",,,,,,,"1",,
"1769473620.325",,,,,,,,"0",
"1769473620.523",,,,,,,"1",,
"1769473620.525",,,,,,,,"0",
"1769473620.723",,,,,,,"1",,
"1769473620.725",,,,,,,,"0",
"1769473620.924",,,,,,,"1",,
"1769473620.928",,,,,,,,"0",
"1769473621.123",,,,,,,"1",,
"1769473621.124",,,,,,,,"0",
"1769473621.323",,,,,,,"1","0",
"1769473621.524",,,,,,,"1","0",
"1769473621.724",,,,,,,"1","0",
"1769473621.924",,,,,,,"1","0",
"1769473622.123",,,,,,,"1",,
"1769473622.125",,,,,,,,"0",
